DATE,RBCNBIS
1994-01-01,52.8
1994-02-01,53.07
1994-03-01,53.23
1994-04-01,54.17
1994-05-01,54.51
1994-06-01,54.73
1994-07-01,54.14
1994-08-01,56.13
1994-09-01,57.99
1994-10-01,58.12
1994-11-01,58.74
1994-12-01,60.29
1995-01-01,61.94
1995-02-01,61.96
1995-03-01,60.16
1995-04-01,59.37
1995-05-01,60.6
1995-06-01,59.96
1995-07-01,59.88
1995-08-01,62.37
1995-09-01,64.74
1995-10-01,64.11
1995-11-01,64.49
1995-12-01,64.85
1996-01-01,66.78
1996-02-01,67.36
1996-03-01,67.62
1996-04-01,68.82
1996-05-01,68.69
1996-06-01,68.55
1996-07-01,67.85
1996-08-01,68.25
1996-09-01,69.82
1996-10-01,69.78
1996-11-01,69.54
1996-12-01,70.36
1997-01-01,72.05
1997-02-01,74.02
1997-03-01,73.7
1997-04-01,74.59
1997-05-01,73.06
1997-06-01,71.81
1997-07-01,71.87
1997-08-01,73.3
1997-09-01,74.7
1997-10-01,74.15
1997-11-01,75.28
1997-12-01,78.69
1998-01-01,81.32
1998-02-01,80.05
1998-03-01,79.71
1998-04-01,79.41
1998-05-01,78.75
1998-06-01,79.2
1998-07-01,78.12
1998-08-01,79.3
1998-09-01,78.85
1998-10-01,75.47
1998-11-01,75.07
1998-12-01,74.33
1999-01-01,74.46
1999-02-01,75.88
1999-03-01,76.67
1999-04-01,76.08
1999-05-01,75.3
1999-06-01,74.6
1999-07-01,74.24
1999-08-01,73.3
1999-09-01,74.01
1999-10-01,73.11
1999-11-01,72.84
1999-12-01,72.46
2000-01-01,73.66
2000-02-01,75.62
2000-03-01,74.21
2000-04-01,73.93
2000-05-01,74.7
2000-06-01,73.01
2000-07-01,73.07
2000-08-01,73.82
2000-09-01,75.46
2000-10-01,76.01
2000-11-01,76.8
2000-12-01,76.65
2001-01-01,77.65
2001-02-01,77.82
2001-03-01,78.63
2001-04-01,79.59
2001-05-01,78.65
2001-06-01,78.42
2001-07-01,78.61
2001-08-01,76.97
2001-09-01,76.99
2001-10-01,77.62
2001-11-01,78.22
2001-12-01,78.85
2002-01-01,80.18
2002-02-01,81.38
2002-03-01,79.54
2002-04-01,78.64
2002-05-01,76.57
2002-06-01,74.73
2002-07-01,72.9
2002-08-01,73.44
2002-09-01,74.21
2002-10-01,74.71
2002-11-01,73.83
2002-12-01,73.68
2003-01-01,73.16
2003-02-01,73.58
2003-03-01,72.82
2003-04-01,72.63
2003-05-01,70.13
2003-06-01,69.34
2003-07-01,69.63
2003-08-01,70.25
2003-09-01,69.88
2003-10-01,68.7
2003-11-01,69.73
2003-12-01,68.9
2004-01-01,68.79
2004-02-01,68.34
2004-03-01,69.03
2004-04-01,69.5
2004-05-01,70.16
2004-06-01,68.97
2004-07-01,68.65
2004-08-01,69.25
2004-09-01,69.5
2004-10-01,68.3
2004-11-01,66.58
2004-12-01,65.6
2005-01-01,66.4
2005-02-01,67.47
2005-03-01,66.05
2005-04-01,66.39
2005-05-01,66.34
2005-06-01,66.92
2005-07-01,68.15
2005-08-01,68.18
2005-09-01,68.37
2005-10-01,69.26
2005-11-01,70.36
2005-12-01,70.22
2006-01-01,69.66
2006-02-01,70.66
2006-03-01,69.67
2006-04-01,68.94
2006-05-01,67.15
2006-06-01,67.7
2006-07-01,67.53
2006-08-01,67.44
2006-09-01,68.51
2006-10-01,69.14
2006-11-01,69.12
2006-12-01,69.37
2007-01-01,70.87
2007-02-01,71.84
2007-03-01,70.69
2007-04-01,69.82
2007-05-01,70.29
2007-06-01,71.07
2007-07-01,71.32
2007-08-01,72.07
2007-09-01,71.88
2007-10-01,70.88
2007-11-01,70.94
2007-12-01,72.34
2008-01-01,73.71
2008-02-01,75.96
2008-03-01,74.01
2008-04-01,74.38
2008-05-01,74.65
2008-06-01,75.03
2008-07-01,75.0
