DATE,RBJPBIS
1994-01-01,164.09
1994-02-01,170.65
1994-03-01,172.27
1994-04-01,174.85
1994-05-01,172.72
1994-06-01,172.35
1994-07-01,176.4
1994-08-01,173.22
1994-09-01,173.68
1994-10-01,173.81
1994-11-01,173.97
1994-12-01,170.57
1995-01-01,169.61
1995-02-01,170.38
1995-03-01,182.0
1995-04-01,193.97
1995-05-01,191.35
1995-06-01,191.26
1995-07-01,184.04
1995-08-01,170.97
1995-09-01,161.88
1995-10-01,159.48
1995-11-01,157.46
1995-12-01,158.03
1996-01-01,151.68
1996-02-01,150.54
1996-03-01,150.03
1996-04-01,148.45
1996-05-01,150.17
1996-06-01,146.29
1996-07-01,145.44
1996-08-01,146.15
1996-09-01,143.81
1996-10-01,141.04
1996-11-01,139.92
1996-12-01,138.72
1997-01-01,134.34
1997-02-01,129.37
1997-03-01,130.53
1997-04-01,129.86
1997-05-01,137.5
1997-06-01,142.7
1997-07-01,143.14
1997-08-01,141.96
1997-09-01,139.71
1997-10-01,140.99
1997-11-01,136.38
1997-12-01,137.71
1998-01-01,142.75
1998-02-01,143.57
1998-03-01,138.73
1998-04-01,134.02
1998-05-01,132.12
1998-06-01,128.71
1998-07-01,127.33
1998-08-01,123.75
1998-09-01,132.15
1998-10-01,145.16
1998-11-01,145.03
1998-12-01,147.76
1999-01-01,152.38
1999-02-01,148.27
1999-03-01,146.33
1999-04-01,146.37
1999-05-01,143.32
1999-06-01,144.92
1999-07-01,145.88
1999-08-01,153.6
1999-09-01,163.05
1999-10-01,163.66
1999-11-01,165.44
1999-12-01,168.5
2000-01-01,162.97
2000-02-01,156.4
2000-03-01,161.77
2000-04-01,164.01
2000-05-01,162.57
2000-06-01,163.77
2000-07-01,161.06
2000-08-01,162.07
2000-09-01,164.68
2000-10-01,163.58
2000-11-01,162.86
2000-12-01,157.1
2001-01-01,149.26
2001-02-01,149.77
2001-03-01,144.39
2001-04-01,142.62
2001-05-01,145.01
2001-06-01,145.25
2001-07-01,142.37
2001-08-01,144.1
2001-09-01,146.64
2001-10-01,144.34
2001-11-01,142.9
2001-12-01,137.43
2002-01-01,131.53
2002-02-01,129.68
2002-03-01,132.08
2002-04-01,131.66
2002-05-01,134.85
2002-06-01,136.45
2002-07-01,140.47
2002-08-01,140.64
2002-09-01,138.4
2002-10-01,134.89
2002-11-01,136.24
2002-12-01,134.86
2003-01-01,135.69
2003-02-01,133.74
2003-03-01,134.92
2003-04-01,133.37
2003-05-01,134.1
2003-06-01,132.29
2003-07-01,132.45
2003-08-01,132.98
2003-09-01,136.27
2003-10-01,140.96
2003-11-01,140.39
2003-12-01,140.47
2004-01-01,140.04
2004-02-01,139.1
2004-03-01,137.38
2004-04-01,138.32
2004-05-01,133.74
2004-06-01,136.69
2004-07-01,135.74
2004-08-01,134.57
2004-09-01,134.77
2004-10-01,135.6
2004-11-01,138.13
2004-12-01,136.97
2005-01-01,137.34
2005-02-01,133.68
2005-03-01,132.8
2005-04-01,130.79
2005-05-01,132.12
2005-06-01,130.72
2005-07-01,127.03
2005-08-01,126.91
2005-09-01,126.3
2005-10-01,122.57
2005-11-01,119.18
2005-12-01,118.46
2006-01-01,119.5
2006-02-01,116.36
2006-03-01,117.04
2006-04-01,115.83
2006-05-01,119.9
2006-06-01,117.88
2006-07-01,116.12
2006-08-01,115.99
2006-09-01,114.83
2006-10-01,113.28
2006-11-01,112.68
2006-12-01,111.18
2007-01-01,108.22
2007-02-01,106.54
2007-03-01,109.24
2007-04-01,106.57
2007-05-01,104.47
2007-06-01,102.38
2007-07-01,101.65
2007-08-01,106.9
2007-09-01,107.27
2007-10-01,104.61
2007-11-01,107.5
2007-12-01,106.21
2008-01-01,109.12
2008-02-01,107.79
2008-03-01,113.15
2008-04-01,109.93
2008-05-01,109.18
2008-06-01,106.31
2008-07-01,105.42
2008-08-01,105.52
2008-09-01,110.51
2008-10-01,122.97
2008-11-01,129.91
2008-12-01,137.0
2009-01-01,137.51
2009-02-01,136.05
2009-03-01,128.82
2009-04-01,125.28
2009-05-01,124.95
2009-06-01,123.55
2009-07-01,125.77
2009-08-01,124.36
2009-09-01,127.71
2009-10-01,127.1
2009-11-01,127.82
2009-12-01,126.84
2010-01-01,124.5
2010-02-01,126.81
2010-03-01,125.81
2010-04-01,121.1
2010-05-01,125.49
2010-06-01,128.28
2010-07-01,130.53
2010-08-01,132.58
2010-09-01,132.65
2010-10-01,133.64
2010-11-01,131.82
2010-12-01,130.63
2011-01-01,129.83
2011-02-01,128.13
2011-03-01,128.53
2011-04-01,123.86
2011-05-01,126.8
2011-06-01,127.55
2011-07-01,128.54
2011-08-01,132.2
2011-09-01,134.77
2011-10-01,135.86
2011-11-01,133.74
2011-12-01,133.98
2012-01-01,134.94
2012-02-01,130.59
2012-03-01,124.53
2012-04-01,126.39
2012-05-01,130.18
2012-06-01,131.89
2012-07-01,131.84
2012-08-01,131.32
2012-09-01,130.3
2012-10-01,128.09
2012-11-01,124.56
2012-12-01,119.56
2013-01-01,111.68
2013-02-01,106.05
2013-03-01,105.13
2013-04-01,101.81
2013-05-01,98.91
2013-06-01,103.09
2013-07-01,101.16
2013-08-01,103.03
2013-09-01,101.21
2013-10-01,101.77
2013-11-01,99.96
2013-12-01,96.51
2014-01-01,96.11
2014-02-01,97.68
2014-03-01,97.53
2014-04-01,99.23
2014-05-01,100.09
2014-06-01,99.82
2014-07-01,99.99
2014-08-01,99.17
2014-09-01,95.94
2014-10-01,95.8
2014-11-01,89.64
2014-12-01,88.47
2015-01-01,90.59
2015-02-01,90.25
2015-03-01,90.07
2015-04-01,90.44
2015-05-01,89.14
2015-06-01,87.04
2015-07-01,87.96
2015-08-01,89.5
2015-09-01,92.39
2015-10-01,91.85
2015-11-01,90.64
2015-12-01,91.8
2016-01-01,95.47
2016-02-01,97.04
2016-03-01,97.57
2016-04-01,99.57
2016-05-01,101.09
2016-06-01,104.48
2016-07-01,106.1
2016-08-01,108.28
2016-09-01,107.59
2016-10-01,106.96
2016-11-01,104.06
2016-12-01,97.8
2017-01-01,97.79
2017-02-01,98.46
2017-03-01,98.36
2017-04-01,100.78
2017-05-01,98.38
2017-06-01,98.62
2017-07-01,96.4
2017-08-01,97.59
2017-09-01,95.93
2017-10-01,94.74
2017-11-01,94.94
2017-12-01,94.36
2018-01-01,94.12
2018-02-01,95.3
2018-03-01,97.0
2018-04-01,95.54
2018-05-01,95.37
2018-06-01,95.93
2018-07-01,96.18
2018-08-01,97.85
2018-09-01,96.78
2018-10-01,96.78
2018-11-01,96.62
2018-12-01,97.1
2019-01-01,99.2
2019-02-01,96.92
2019-03-01,96.21
2019-04-01,96.0
2019-05-01,98.51
2019-06-01,99.79
2019-07-01,99.33
2019-08-01,102.87
2019-09-01,101.64
2019-10-01,100.47
2019-11-01,99.19
2019-12-01,98.56
2020-01-01,97.49
2020-02-01,97.35
2020-03-01,101.6
2020-04-01,102.99
2020-05-01,103.41
2020-06-01,100.93
2020-07-01,100.76
2020-08-01,100.24
2020-09-01,99.75
2020-10-01,99.35
2020-11-01,98.68
2020-12-01,97.44
2021-01-01,97.05
2021-02-01,95.02
2021-03-01,93.12
2021-04-01,91.83
2021-05-01,91.04
2021-06-01,90.25
2021-07-01,91.11
2021-08-01,91.44
2021-09-01,91.15
2021-10-01,88.25
2021-11-01,87.59
2021-12-01,87.75
2022-01-01,86.66
2022-02-01,85.89
2022-03-01,83.97
2022-04-01,79.3
2022-05-01,79.44
2022-06-01,75.97
2022-07-01,75.7
2022-08-01,77.01
2022-09-01,74.55
2022-10-01,73.71
2022-11-01,75.2
2022-12-01,77.67
2023-01-01,78.95
2023-02-01,77.16
2023-03-01,77.49
2023-04-01,77.54
2023-05-01,76.04
2023-06-01,74.34
2023-07-01,74.37
2023-08-01,73.08
2023-09-01,72.33
2023-10-01,72.5
2023-11-01,71.44
2023-12-01,73.4
2024-01-01,72.58
2024-02-01,70.72
2024-03-01,70.81
2024-04-01,69.87
2024-05-01,68.9
2024-06-01,68.37
2024-07-01,68.27
2024-08-01,72.86
2024-09-01,73.82
